Date,PX_LAST,PX_BID
11/3/2023,4.5724,4.5744
11/2/2023,4.659,4.6611
11/1/2023,4.7341,4.7362
10/31/2023,4.9307,4.9328
10/30/2023,4.8942,4.8964
10/27/2023,4.8346,4.8388
10/26/2023,4.8445,4.8466
10/25/2023,4.9549,4.9592
10/24/2023,4.8229,4.8272
10/23/2023,4.8502,4.8523
10/20/2023,4.9137,4.9179
10/19/2023,4.9898,4.992
10/18/2023,4.9149,4.917
10/17/2023,4.8341,4.8384
10/16/2023,4.706,4.7081
10/13/2023,4.6124,4.6145
10/12/2023,4.6969,4.7011
10/11/2023,4.5582,4.5603
10/10/2023,4.653,4.655
10/9/2023,4.8009,4.8051
10/6/2023,4.8009,4.8051
10/5/2023,4.7185,4.7206
10/4/2023,4.7329,4.735
10/3/2023,4.7955,4.7976
10/2/2023,4.6785,4.6806
9/29/2023,4.5711,4.5732
9/28/2023,4.5748,4.5768
9/27/2023,4.6075,4.6095
9/26/2023,4.5356,4.5376
9/25/2023,4.5334,4.5375
9/22/2023,4.4337,4.4357
9/21/2023,4.4942,4.4982
9/20/2023,4.407,4.411
9/19/2023,4.3586,4.3607
9/18/2023,4.3026,4.3045
9/15/2023,4.3324,4.3364
9/14/2023,4.2863,4.2922
9/13/2023,4.2485,4.2544
9/12/2023,4.2801,4.2861
9/11/2023,4.288,4.296
9/8/2023,4.2641,4.2701
9/7/2023,4.2441,4.25
9/6/2023,4.2797,4.2836
9/5/2023,4.2598,4.2657
9/4/2023,4.1788,4.1808
9/1/2023,4.1788,4.1808
8/31/2023,4.1081,4.1101
8/30/2023,4.1139,4.1178
8/29/2023,4.1197,4.1256
8/28/2023,4.202,4.2079
8/25/2023,4.2354,4.2393
8/24/2023,4.2372,4.2391
8/23/2023,4.1918,4.1977
8/22/2023,4.3241,4.33
8/21/2023,4.3379,4.3439
8/18/2023,4.2546,4.2566
8/17/2023,4.2741,4.282
8/16/2023,4.2504,4.2543
8/15/2023,4.211,4.2188
8/14/2023,4.1913,4.1952
8/11/2023,4.1522,4.1581
